id,test_result_id,is_example,question_num,response,correct,elapsed_time_ms
1,1,t,-3,2,t,579
2,1,t,-2,0,t,529
3,1,t,-1,5,t,4075
4,1,f,0,1,t,1394
5,1,f,1,3,f,1422
6,1,f,2,1,f,16581
7,1,f,3,2,t,469
8,1,f,4,0,f,456
9,1,f,5,5,f,845
10,1,f,6,2,f,474
11,1,f,7,3,f,537
12,1,f,8,1,f,418
13,1,f,9,3,f,605
14,1,f,10,1,f,514
15,1,f,11,3,f,572
16,1,f,12,0,f,499
17,1,f,13,2,f,543
18,1,f,14,1,f,477
19,1,f,15,3,f,836
20,1,f,16,1,f,457
21,1,f,17,3,f,667
22,1,f,18,0,f,508
23,1,f,19,2,f,517
24,1,f,20,1,f,426
25,1,f,21,3,f,613
26,1,f,22,1,t,533
27,1,f,23,0,f,433
28,1,f,24,2,t,514
29,1,f,25,3,f,528
30,1,f,26,1,f,477
31,1,f,27,3,f,524
32,1,f,28,0,f,502
33,1,f,29,2,f,603
34,1,f,30,1,f,575
